file,domain,formalism,action,input_path,output_path
HttpCookie_Name.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\HttpCookie_Name.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\HttpCookie_Name.mop
HttpURLConnection_SetBeforeConnect.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\HttpURLConnection_SetBeforeConnect.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\HttpURLConnection_SetBeforeConnect.mop
IDN_ToAscii.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\IDN_ToAscii.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\IDN_ToAscii.mop
InetAddress_IsReachable.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\InetAddress_IsReachable.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\InetAddress_IsReachable.mop
InetSocketAddress_Port.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\InetSocketAddress_Port.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\InetSocketAddress_Port.mop
MulticastSocket_TTL.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\MulticastSocket_TTL.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\MulticastSocket_TTL.mop
NetPermission_Actions.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\NetPermission_Actions.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\NetPermission_Actions.mop
NetPermission_Name.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\NetPermission_Name.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\NetPermission_Name.mop
PasswordAuthentication_FillZeroPassword.mop,net,ltl,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\PasswordAuthentication_FillZeroPassword.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\PasswordAuthentication_FillZeroPassword.mop
ServerSocket_Backlog.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\ServerSocket_Backlog.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\ServerSocket_Backlog.mop
ServerSocket_LargeReceiveBuffer.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\ServerSocket_LargeReceiveBuffer.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\ServerSocket_LargeReceiveBuffer.mop
